TCP,Flows,PacketRate,AvgThroughput(kbps),AvgDelay(ms),LossRate(%),JainsFairness,TotalGoodput(kbps)
cpNewReno,5,100,607.671,92.169,0,0.517394,6002.08
cpNewReno,5,300,1000.27,132.19,0.0784919,0.499598,9920.69
cpNewReno,5,1000,1000.88,130.624,0.0744269,0.507627,9924.78
cpNewReno,20,100,252.609,139.291,0.685046,0.518247,10169.2
cpNewReno,20,300,252.61,139.305,0.684861,0.518248,10172.3
cpNewReno,20,1000,252.614,139.304,0.684852,0.51825,10172.5
cpNewReno,50,100,104.559,155.511,1.62847,0.520244,10814
cpNewReno,50,300,104.553,155.561,1.62797,0.520231,10817.2
cpNewReno,50,1000,104.549,155.561,1.62799,0.520234,10817.4
cpCubic,5,100,607.671,92.2137,0,0.517394,6002.08
cpCubic,5,300,1008.59,132.192,0.290339,0.5156,9969.57
cpCubic,5,1000,1006.21,131.287,0.256788,0.519512,9952.25
cpCubic,20,100,261.036,144.878,2.23394,0.521606,10232.6
cpCubic,20,300,261.044,144.872,2.23324,0.521604,10236.4
cpCubic,20,1000,261.049,144.871,2.23321,0.521604,10236.6
cpCubic,50,100,108.953,167.635,3.80288,0.523706,10864.3
cpCubic,50,300,108.957,167.644,3.80268,0.523708,10864.5
cpCubic,50,1000,108.961,167.654,3.80259,0.523707,10864.7
cpVegas,5,100,605.465,91.8205,0,0.517367,5992.92
cpVegas,5,300,993.801,95.0765,0,0.48899,9870.97
cpVegas,5,1000,993.848,95.0765,0,0.488977,9873.42
cpVegas,20,100,253.43,116.076,0.135572,0.494253,10297
cpVegas,20,300,253.406,116.079,0.135542,0.494235,10299.5
cpVegas,20,1000,253.406,116.079,0.135542,0.494235,10299.5
cpVegas,50,100,103.796,173.674,1.36111,0.519313,10799.9
cpVegas,50,300,103.809,173.674,1.36109,0.519306,10799.9
cpVegas,50,1000,103.809,173.674,1.36109,0.519306,10799.9
