Topology,TCP,Nodes,Flows,PacketRate,AvgThroughput(kbps),AvgDelay(ms),LossRate(%),JainsFairness,TotalGoodput(kbps)
Dumbbell,TcpNewReno,3,40,300,254.232,138.3,0.857587,0.517655,10169.3
Dumbbell,TcpNewReno,5,40,300,255.782,136.2,0.82277,0.517024,10231.3
Dumbbell,TcpNewReno,7,40,300,257.275,139.425,0.792655,0.517632,10291
Dumbbell,TcpCubic,3,40,300,255.352,144.575,2.40259,0.522134,10214.1
Dumbbell,TcpCubic,5,40,300,255.512,146.5,2.56226,0.522611,10220.5
Dumbbell,TcpCubic,7,40,300,257.614,144.6,2.20322,0.521416,10304.6
Dumbbell,TcpVegas,3,40,300,259.23,116.525,0.201001,0.496947,10369.2
Dumbbell,TcpVegas,5,40,300,259.183,113.35,0.160629,0.5008,10367.3
Dumbbell,TcpVegas,7,40,300,258.675,119.05,0.126437,0.49262,10347
Bus,TcpNewReno,6,40,300,257.556,113.825,0.869778,0.517952,10302.2
Bus,TcpNewReno,8,40,300,254.634,131.425,0.815748,0.517977,10185.4
Bus,TcpNewReno,10,40,300,254.11,149.9,0.847198,0.516416,10164.4
Bus,TcpCubic,6,40,300,259.933,123.075,2.62736,0.522844,10397.3
Bus,TcpCubic,8,40,300,259.232,142.475,2.94792,0.523244,10369.3
Bus,TcpCubic,10,40,300,258.508,165.35,3.12762,0.522055,10340.3
Bus,TcpVegas,6,40,300,260.097,91.45,0.336551,0.511438,10403.9
Bus,TcpVegas,8,40,300,259.766,108.45,0.293875,0.506651,10390.6
Bus,TcpVegas,10,40,300,259.242,128.05,0.238898,0.500439,10369.7
Tree,TcpNewReno,7,40,300,506.08,91.15,0.469145,0.517068,20243.2
Tree,TcpNewReno,15,40,300,495.095,109.55,0.406004,0.496943,19803.8
Tree,TcpCubic,7,40,300,500.671,96.4,1.51441,0.522105,20026.9
Tree,TcpCubic,15,40,300,497.286,114.775,1.40203,0.500535,19891.4
Tree,TcpVegas,7,40,300,506.875,53.4,0,0.511511,20275
Tree,TcpVegas,15,40,300,505.586,71.15,0,0.497767,20223.4
